Names
Edison International
Amerenrp
Medtronic
Pattersons
FirstEnergyrp
Hudson City Bancorp
NYSE Euronext
Alcoarp
LyondellBasell NV
American Express
Verizonmmunications
Boeing
Caterpillar
JPMorgan Chase &
Chevronrp
Coca-Cola
Walt Disney
EI du Pont de Nemours and
Exxon Mobilrp
Phillips 66
General Electric
HP
Home Depot
International Business Machinesrp
Johnson & Johnson
McDonald'srp
Merck &
3M
Bank of Americarp
Pfizer
Procter & Gamble
AT&T
Travelerss
Raytheon Technologiesrp
Analog Devices
Walmart
Cisco Systems
Intelrp
Microsoftrp
Dollar Generalrp
Cignarp
Kinder Morgan
Citigroup
American International
Honeywell International
Altria
International Paper
Abbott Laboratories
Advanced Micro Devices
Aflac
Air Products and Chemicals
Airgas
Allergan/United States
Beam Suntory
American Electric Power
Hessrp
Anadarko Petroleumrp
Apacherp
Archer-Daniels-Midland
Southern Gas
Automatic Data Processing
AutoZone
Avery Dennisonrp
Avon Products
Baker Hughes Holdings
Ballrp
Bank of New York Mellonrp
CR Bard
Baxter International
Becton Dickinson and
Bemis
Berkshire Hathaway
Best Buy
H&R Block
Boston Scientificrp
Bristol-Myers Squibb
Brown-Formanrp
Cabot Oil & Gasrp
Campbell Soup
Carnivalrp
CenturyLink
Chubbrp
Frontiermmunicationsrp
Clorox
CMS Energyrp
Coca-Cola European Partners
Colgate-Palmolive
Comerica
CA
Computer Sciencesrp
Conagra Brands
Consolidated Edison
Corning
CSXrp
Cummins
Danaherrp
Targetrp
Deere &
Dominion Energy
Doverrp
Dow Chemical
Duke Energyrp
Eatonrp
Ecolab
PerkinElmer
EMCrp
Emerson Electric
EOG Resources
Aon
Entergyrp
Equifax
EQTrp
XL
Family Dollar Stores
FedExrp
Macy's
FMCrp
Ford Motor
NextEra Energy
Franklin Resources
Freeport-McMoRan
TEGNA
Gap
General Dynamicsrp
General Mills
Genuine Parts
WW Grainger
Halliburton
Harley-Davidson
Harman International
Komatsu Miningrp
L3Harris Technologies
Healthpeak Properties
Kraft Heinz Foods
Helmerich & Payne
Hershey
Hormel Foodsrp
Starwood Hotels & Resorts Worldwide
Mondelez International
CenterPoint Energy
Humana
Illinois Tool Works
Trane Technologies
Interpublic ofs
International Flavors & Fragrances
International Game Technology
Jacobs Engineering
Johnsonntrols
Kellogg
Kimberly-Clarkrp
Kimco Realtyrp
Kohl'srp
Kroger
Legg Mason
Leggett & Platt
Lennarrp
Jefferies Financial
Eli Lilly and
L Brands
Lincoln Nationalrp
Loewsrp
Lowe'ss
Xerox Holdingsrp
Host Hotels & Resorts
Marsh & McLennans
Mascorp
Mattel
S&P Global
CVS Healthrp
Micron Technology
Motorola Solutions
Murphy Oilrp
Mylan NV
Laboratoryrp of America Holdings
Tenet Healthcarerp
Newell Brands
Newmontrp
TFCFrp
NIKE
NiSource
Noble Energy
Norfolk Southernrp
Eversource Energy
Northrop Grummanrp
Wells Fargo &
Nucorrp
Occidental Petroleumrp
Omnicom
ONEOK
PG&Erp
Parker-Hannifinrp
PPLrp
JC Penney
PepsiCo
Exelonrp
ConocoPhillips
PulteGroup
Pinnacle West Capitalrp
Pitney Bowes
Plum Creek Timber
PNC Financial Services
Linde/CT
Precision Castpartsrp
Progressiverp
Public Service Enterprise
Raytheon
Robert Half International
Rowans
Ryder System
Safeway
SCANArp
Schlumberger NV
Charles Schwabrp
Sherwin-Williams
J M Smucker
Snap-on
Southern
Truist Financialrp
Southwest Airlines
Southwestern Energy
Sprintmmunications
Stanley Black & Decker
Public Storage
SunTrust Banks
Syscorp
TECO Energy
Teradyne
Andeavor
Texas Instruments
Textron
Thermo Fisher Scientific
Tiffany &
TJXs
Globe Life
Total System Services
Johnsonntrols International plc
Union Pacificrp
UnitedHealth
Unum
Marathon Oilrp
United States Steelrp
Varian Medical Systems
Ventas
VFrp
Vornado Realty Trust
ADT Securityrp
Vulcan Materials
Walgreens Boots Alliance
Graham Holdings
Weyerhaeuser
Whirlpoolrp
Williamss
Integrys Energy
WEC Energy
Adobe
AESrp
Amgen
Apple
Autodesk
Cintasrp
Comcastrp
Molsonors Beverage
Dell
KLArp
McCormick &/MD
Molex/US
Nordstrom
Oraclerp
PACCAR
Perrigo
Costco Wholesalerp
Sigma-Aldrichrp
St Jude Medical
Strykerrp
Tyson Foods
Alterarp
Applied Materials
Time Warner
Bed Bath & Beyond
Cardinal Health
Celgenerp
Cernerrp
Cincinnati Financialrp
Cablevision Systemsrp
Coventry Health Care
DR Horton
Flowserverp
Electronic Arts
Evernorth Health
Expeditors International of Washington I
Fastenal
M&T Bankrp
Fiserv
Fifth Third Bancorp
Forest Laboratories
First Horizon Nationalrp
Hasbro
Huntington Bancshares/OH
Welltower
Biogen
Linear Technologyrp
Range Resourcesrp
Nabors
Noblerp plc
Northern Trustrp
Paychex
People's United Financial
Pallrp
QUALCOMM
Roper Technologies
Ross Stores
AutoNation
Starbucksrp
KeyCorp
Staples
State Streetrp
US Bancorp
NortonLifeLock
Kraft Foods
T Rowe Price
Waste Management
ViacomCBS
Allergan
Whole Foods Market
Constellation Brands
Xilinx
DENTSPLY SIRONA
Zions Bancorp NA
Denbury
Invesco
Intuit
Morgan Stanley
Microchip Technology
Chubb
Chesapeake Energyrp
Jabil
O'Reilly Automotive
Allstaterp
FLIR Systems
Equity Residential
BorgWarner
Newfield Exploration
Viavi Solutions
Urban Outfitters
Simon Property
Eastman Chemical
AvalonBaymmunities
Prudential Financial
United Parcel Service
Apartment Investment and Management
Apollo Education
McKessonrp
Dean Foods
Lockheed Martinrp
AmerisourceBergenrp
Cameron Internationalrp
Capital One Financialrp
Watersrp
Dollar Tree
Darden Restaurants
SanDisk
Diamond Offshore Drilling
NetApp
Citrix Systems
Goodyear Tire & Rubber
DaVita
Hartford Financial Services/Th
Iron Mountain
Estee Lauders
Yahoo! - Set up for Fundamental Purp
Principal Financial
Allegheny Technologies
Stericycle
E*TRADE Financialrp
Abercrombie & Fitch
National Oilwell Varco
Quest Diagnostics
Rockwell Automation
American Towerrp
Amazon.com
Ralph Laurenrp
Boston Properties
Amphenolrp
Valero Energyrp
L3 Technologies
Western Union
CH Robinson Worldwide
Accenture
Yum! Brands
Prologis
VeriSign
Quanta Services
Broadcomrp
NVIDIArp
Marriott International/MD
Sealed Airrp
Cognizant Technology Solutionsrp
Intuitive Surgical
CNX Resourcesrp
Aetna
Peabody Energyrp
Republic Services
eBay
Goldman Sachs
Sempra Energy
Moody'srp
Life Technologiesrp
Booking Holdings
F5 Networks
Akamai Technologies
QEP Resources
Reynolds American
SLMrp
Devon Energyrp
Alphabet
Red Hat
Netflix
Agilent Technologies
Anthem
CME
Juniper Networks
BlackRock
DTE Energy
Nasdaq
Philip Morris International
